"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Maharashtra
Market Name : ACF Agro Marketing  APMC
Market Name : Dharni APMC
Not Reported
Market Name : Dhule APMC
Not Reported
Market Name : Digras APMC
Not Reported
Market Name : Dindori APMC
Not Reported
Market Name : Dindori(Vani) APMC
NIL Transaction
Market Name : Dondaicha APMC
Bajra(Pearl Millet/Cumbu),1.0,Metric Tonnes,Other,Non-FAQ,1850.0,1911.0,1850.0,Rs./Quintal
Bengal Gram(Gram)(Whole),0.4,Metric Tonnes,Other,FAQ,5650.0,6100.0,6000.0,Rs./Quintal
Bengal Gram(Gram)(Whole),1.2,Metric Tonnes,Other,Non-FAQ,4000.0,4999.0,4575.0,Rs./Quintal
Chili Red,21.4,Metric Tonnes,Other,Local,1372.0,3675.0,2851.0,Rs./Quintal
Maize,400.4,Metric Tonnes,Yellow,Non-FAQ,1300.0,1825.0,1650.0,Rs./Quintal
Mataki,0.1,Metric Tonnes,Other,Local,6800.0,7801.0,6800.0,Rs./Quintal
Wheat,11.1,Metric Tonnes,Other,FAQ,2425.0,2799.0,2700.0,Rs./Quintal
Market Name : Dondaicha(Sindhkheda) APMC
Not Reported
Market Name : Dound APMC
NIL Transaction
Market Name : Dudhani APMC
Not Reported
Market Name : Fulmbri APMC
Not Reported
Market Name : Gadhinglaj APMC
Not Reported
Market Name : Gajanaan Krushi Bazar APMC
Not Reported
Market Name : Gajanan Krushi Utpanna Bazar (India) Pvt Ltd  APMC
NIL Transaction - No Arrivals
Market Name : Gandchiroli APMC
Not Reported
Market Name : Gangakhed APMC
Not Reported
Market Name : Gangapur APMC
Not Reported
Market Name : Gevrai APMC
Not Reported
Market Name : Ghansawangi APMC
Not Reported
Market Name : Ghatanji APMC
Cotton,70.0,Metric Tonnes,LRA,Non-FAQ,7000.0,7505.0,7200.0,Rs./Quintal
Market Name : Ghoti APMC
Not Reported
Market Name : Gondiya APMC
Paddy(Common),3.6,Metric Tonnes,Paddy,FAQ,2950.0,3150.0,3050.0,Rs./Quintal
Paddy(Common),43.9,Metric Tonnes,Other,Non-FAQ,1900.0,1990.0,1945.0,Rs./Quintal
Paddy(Common),42.8,Metric Tonnes,Other,FAQ,2431.0,2736.0,2583.0,Rs./Quintal
Paddy(Common),11.6,Metric Tonnes,Paddy,Non-FAQ,1825.0,1859.0,1836.0,Rs./Quintal
Market Name : Gondpimpri APMC
Paddy(Common),24.5,Metric Tonnes,Other,FAQ,2725.0,2775.0,2750.0,Rs./Quintal
Market Name : Gopal Krishna Agro APMC
Not Reported
Market Name : Goregaon APMC
Paddy(Common),30.0,Metric Tonnes,Other,FAQ,2369.0,2369.0,2369.0,Rs./Quintal
Market Name : Govardhan Farm Produce Market  APMC
Not Reported
Market Name : Hadgaon APMC
Not Reported
Market Name : Hadgaon(Tamsa) APMC
