"Market-wise, Commodity-wise Daily Report on: 19-Dec-2025"

Commodity,Arrivals,Unit of Arrivals,Variety,Grade,Minimum Price,Maximum Price,Modal Price,Unit of Price
State Name : Gujarat
Market Name : APMC HALVAD
Bottle gourd,1.6300000000000001,Metric Tonnes,Bottle Gourd,Local,500.0,1500.0,1000.0,Rs./Quintal
Brinjal,3.0600000000000005,Metric Tonnes,Brinjal,Local,1000.0,3500.0,2500.0,Rs./Quintal
Cabbage,5.300000000000001,Metric Tonnes,Cabbage,Local,800.0,1000.0,900.0,Rs./Quintal
Carrot,2.6100000000000003,Metric Tonnes,Carrot,Local,1200.0,2000.0,1500.0,Rs./Quintal
Cauliflower,14.3,Metric Tonnes,Cauliflower,Local,1000.0,2000.0,1500.0,Rs./Quintal
Cluster beans,0.05,Metric Tonnes,Cluster Beans,Local,8000.0,9000.0,8500.0,Rs./Quintal
Coriander(Leaves),3.3100000000000005,Bundle,Coriander,Local,1500.0,2500.0,2000.0,Rs./Bundle
Cowpea(Veg),0.53,Metric Tonnes,Cowpea (Veg),Local,1000.0,2000.0,1500.0,Rs./Quintal
Cucumbar(Kheera),1.4300000000000002,Metric Tonnes,Cucumbar,Local,1000.0,2000.0,1500.0,Rs./Quintal
Elephant Yam(Suran)/Amorphophallus,0.06,Metric Tonnes,Other,Local,4000.0,4000.0,4000.0,Rs./Quintal
Garlic,1.9000000000000001,Metric Tonnes,Garlic,Local,2500.0,6000.0,4000.0,Rs./Quintal
Ginger(Green),1.8100000000000003,Metric Tonnes,Green Ginger,Local,3500.0,5000.0,4500.0,Rs./Quintal
Green Chilli,3.0500000000000003,Metric Tonnes,Green Chilly,Local,2000.0,4000.0,3500.0,Rs./Quintal
Lemon,0.54,Metric Tonnes,Other,Local,1200.0,3000.0,2000.0,Rs./Quintal
Little gourd(Kundru),0.52,Metric Tonnes,Other,Local,1500.0,3000.0,2500.0,Rs./Quintal
Mint(Pudina),0.13,Bundle,Mint(Pudina),Local,2500.0,8000.0,6000.0,Rs./Bundle
Onion,5.0,Metric Tonnes,Onion,Local,600.0,1600.0,1200.0,Rs./Quintal
Onion Green,1.35,Metric Tonnes,Onion Green,Local,800.0,1000.0,900.0,Rs./Quintal
Pegeon Pea(Arhar Fali),0.24,Metric Tonnes,Other,Local,2500.0,3500.0,3000.0,Rs./Quintal
Potato,22.0,Metric Tonnes,Potato,Local,700.0,1600.0,1300.0,Rs./Quintal
Pumpkin,0.16000000000000003,Metric Tonnes,Pumpkin,Local,1000.0,2000.0,1500.0,Rs./Quintal
Raddish,0.2,Metric Tonnes,Raddish,Local,700.0,1200.0,1000.0,Rs./Quintal
Sweet Potato,2.7,Metric Tonnes,Sweet Potato,Local,500.0,2000.0,1500.0,Rs./Quintal
Tomato,12.700000000000001,Metric Tonnes,Tomato,Local,700.0,3000.0,2000.0,Rs./Quintal
Yam(Ratalu),0.11000000000000001,Metric Tonnes,Other,Local,4000.0,4000.0,4000.0,Rs./Quintal
Market Name : Damnagar APMC
NIL Transaction - Public Holiday
Market Name : Danta APMC
Not Reported
Market Name : Dasada Patadi APMC
Not Reported
Market Name : Davgadbaria(Piplod) APMC
Paddy(Common),0.38,Metric Tonnes,Common,Non-FAQ,1320.0,1340.0,1330.0,Rs./Quintal
Market Name : Dediyapada APMC
Not Reported
Market Name : Deesa APMC
Bajra(Pearl Millet/Cumbu),68.3,Metric Tonnes,Bold,FAQ,1975.0,3155.0,2925.0,Rs./Quintal
Castor Seed,30.3,Metric Tonnes,Other,FAQ,6650.0,6775.0,6765.0,Rs./Quintal
Cummin Seed(Jeera),0.2,Metric Tonnes,Bold,FAQ,18755.0,18755.0,18755.0,Rs./Quintal
Groundnut,125.7,Metric Tonnes,Other,FAQ,5500.0,7500.0,6350.0,Rs./Quintal
Guar Seed(Cluster Beans Seed),3.2,Metric Tonnes,Other,FAQ,4900.0,5050.0,5000.0,Rs./Quintal
Jowar(Sorghum),0.2,Metric Tonnes,Other,FAQ,5000.0,5000.0,5000.0,Rs./Quintal
Mustard,4.9,Metric Tonnes,Other,FAQ,6255.0,6355.0,6325.0,Rs./Quintal
Rajgir,71.8,Metric Tonnes,Other,FAQ,8000.0,8575.0,8500.0,Rs./Quintal
"Sesamum(Sesame,Gingelly,Til)",0.4,Metric Tonnes,White,FAQ,8000.0,9500.0,9000.0,Rs./Quintal
Wheat,8.5,Metric Tonnes,Other,FAQ,2475.0,2770.0,2625.0,Rs./Quintal
Market Name : Deesa(Bhildi) APMC
Bajra(Pearl Millet/Cumbu),58.300000000000004,Metric Tonnes,Other,FAQ,2025.0,3035.0,2750.0,Rs./Quintal
Black Gram(Urd Beans)(Whole),1.4000000000000001,Metric Tonnes,Other,FAQ,5000.0,5655.0,5500.0,Rs./Quintal
Castor Seed,8.3,Metric Tonnes,Castor seed,FAQ,6750.0,6810.0,6775.0,Rs./Quintal
Groundnut,15.3,Metric Tonnes,Other,FAQ,6000.0,6805.0,6500.0,Rs./Quintal
Guar Seed(Cluster Beans Seed),0.1,Metric Tonnes,Other,FAQ,4750.0,4750.0,4750.0,Rs./Quintal
Rajgir,8.0,Metric Tonnes,Other,FAQ,7500.0,8670.0,8625.0,Rs./Quintal
"Sesamum(Sesame,Gingelly,Til)",0.1,Metric Tonnes,Other,FAQ,7500.0,7500.0,7500.0,Rs./Quintal
Wheat,0.5,Metric Tonnes,Other,FAQ,2570.0,2665.0,2650.0,Rs./Quintal
Market Name : Deesa(Deesa Veg Yard) APMC
Apple,2.6,Metric Tonnes,Other,Medium,9000.0,10250.0,9625.0,Rs./Quintal
Banana,1.6,Metric Tonnes,Other,Medium,2000.0,2700.0,2350.0,Rs./Quintal
Ber(Zizyphus/Borehannu),2.6,Metric Tonnes,Other,Medium,4000.0,4800.0,4400.0,Rs./Quintal
Bhindi(Ladies Finger),1.2000000000000002,Metric Tonnes,Other,FAQ,3500.0,4250.0,3875.0,Rs./Quintal
Bottle gourd,1.6,Metric Tonnes,Other,FAQ,2000.0,2700.0,2350.0,Rs./Quintal
Brinjal,2.2,Metric Tonnes,Other,FAQ,5500.0,6250.0,5875.0,Rs./Quintal
